id,timestamp,trial_num,block_num,basic_step,difficulty,start_model,target_model,method,tot_time, result
5,08/28/2017 11:13:54,0,9,2,2,000110010100110110000100000,000100000100110110000110010,s,00:00:03.1966480,True
6,08/28/2017 11:17:54,0,5,1,9,000000100000000111000000100,100000000111000000100000000,s,00:00:03.2944620,True
7,08/28/2017 11:17:58,0,5,1,4,000000000001001011001000000,010000000010010110000000000,s,00:00:03.3266640,True
0,08/28/2017 11:19:18,0,5,1,9,000000000100000000111001000,111001000100000000000000000,s,00:00:03.3145870,True
0,8/31/2017 7:47:24 PM,0,3,3,12,000000000000000001000001001,110100000000000000000000000,rs,00:01:09.5020892,True
1,8/31/2017 7:54:35 PM,0,4,1,9,000000110000000110000000000,110000000110000000000000000,r,00:00:06.6124985,True
2,8/31/2017 7:54:45 PM,0,5,2,6,000010010000110000000010000,000010000010010110000000000,r,00:00:10.8136400,True
3,8/31/2017 7:54:57 PM,0,7,2,3,100000000100000000111110000,110111000000100000000100000,r,00:00:16.1921559,False
4,8/31/2017 7:55:17 PM,1,7,2,3,100000000100000000111110000,110111000000100000000100000,r,00:00:30.5700874,True
5,8/31/2017 7:55:50 PM,0,9,3,2,000100000111100100110100000,000000010000000110010111110,r,00:00:16.4114778,True
0,8/31/2017 7:56:39 PM,0,5,1,9,000000000001001001001001000,100100100000100100000000000,s,00:00:26.4788008,True
1,8/31/2017 7:57:07 PM,0,5,1,4,000000000000010111000000010,111010000010000000000000000,s,00:00:02.9616051,True
2,8/31/2017 7:57:11 PM,0,7,1,4,011000000111001000000001000,000001000111001000011000000,s,00:00:03.5859223,True
3,8/31/2017 7:57:16 PM,0,9,2,2,000000000001101000111111000,111111000001101000000000000,s,00:00:03.4339683,True
4,8/31/2017 7:57:28 PM,0,4,3,7,100100000100100000000000000,110110000000000000000000000,rs,00:00:29.8160263,True
5,8/31/2017 7:57:59 PM,0,7,3,5,010000000010000000011010110,000000100111100100100000000,rs,00:00:17.6052100,True
6,8/31/2017 7:58:18 PM,0,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:48.5103911,False
7,8/31/2017 7:59:09 PM,1,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:50.6314398,False
8,8/31/2017 8:00:01 PM,2,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:19.5077272,False
9,8/31/2017 8:00:22 PM,3,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:24.8863691,False
10,8/31/2017 8:00:49 PM,4,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:33.7156220,False
11,8/31/2017 8:01:24 PM,5,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:08.8121610,False
12,8/31/2017 8:01:34 PM,6,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:12.3846013,False
13,8/31/2017 8:01:47 PM,7,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:01:05.4060690,False
14,8/31/2017 8:02:55 PM,8,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:32.2465785,False
15,8/31/2017 8:03:30 PM,9,8,3,1,000010000000011000001011011,010010110000010111000000000,rs,00:00:21.7430946,True
16,8/31/2017 8:03:54 PM,0,8,4,0,000000100110100100100100100,000110010000010010010010010,rs,00:00:35.6016272,False
17,8/31/2017 8:04:32 PM,1,8,4,0,000000100110100100100100100,000110010000010010010010010,rs,00:00:27.0823887,True
18,8/31/2017 8:05:00 PM,0,12,5,3,001111110011010000010110000,100110010111010011011000000,rs,00:00:36.2939208,True
19,8/31/2017 8:05:38 PM,0,14,5,0,000100111000100111000111111,110010010110010010110110110,rs,00:00:17.6880886,False
20,8/31/2017 8:05:57 PM,1,14,5,0,000100111000100111000111111,110010010110010010110110110,rs,00:00:13.7628659,False
21,8/31/2017 8:06:12 PM,2,14,5,0,000100111000100111000111111,110010010110010010110110110,rs,00:00:45.8595744,True
